,Unnamed: 0,Organisation,Rocket_Status,Price,Mission_Status
0,0,SpaceX,StatusActive,50,Success
1,1,CASC,StatusActive,29.75,Success
2,2,SpaceX,StatusActive,,Success
3,3,Roscosmos,StatusActive,65,Success
4,4,ULA,StatusActive,145,Success
5,5,CASC,StatusActive,64.68,Success
6,6,Roscosmos,StatusActive,48.5,Success
7,7,CASC,StatusActive,,Success
8,8,SpaceX,StatusActive,50,Success
9,9,JAXA,StatusActive,90,Success
10,10,Northrop,StatusActive,46,Success
11,11,ExPace,StatusActive,28.3,Failure
12,12,CASC,StatusActive,29.15,Success
13,13,IAI,StatusActive,,Success
14,14,CASC,StatusActive,29.75,Success
15,15,Rocket Lab,StatusActive,7.5,Failure
16,16,CASC,StatusActive,64.68,Success
17,17,SpaceX,StatusActive,50,Success
18,18,CASC,StatusActive,29.15,Success
19,19,CASC,StatusActive,29.75,Success
20,20,SpaceX,StatusActive,50,Success
21,21,Rocket Lab,StatusActive,7.5,Success
22,22,CASC,StatusActive,30.8,Success
23,23,SpaceX,StatusActive,50,Success
24,24,CASC,StatusActive,29.75,Success
25,25,SpaceX,StatusActive,50,Success
26,26,CASC,StatusActive,5.3,Success
27,27,Virgin Orbit,StatusActive,12,Failure
28,28,VKS RF,StatusActive,,Success
29,29,MHI,StatusRetired,112.5,Success
30,30,ULA,StatusActive,120,Success
31,31,ExPace,StatusActive,,Success
32,32,CASC,StatusActive,,Success
33,33,Roscosmos,StatusActive,48.5,Success
34,34,SpaceX,StatusActive,50,Success
35,35,IRGC,StatusActive,,Success
36,36,CASC,StatusActive,29.15,Failure
37,37,Roscosmos,StatusActive,48.5,Success
38,38,ULA,StatusActive,153,Success
39,39,CASC,StatusActive,30.8,Success
40,40,Arianespace,StatusActive,48.5,Success
41,41,SpaceX,StatusActive,50,Success
42,42,VKS RF,StatusActive,,Success
43,43,CASC,StatusActive,,Failure
44,44,CASC,StatusActive,29.15,Success
45,45,SpaceX,StatusActive,50,Success
46,46,VKS RF,StatusActive,48.5,Success
47,47,CASC,StatusActive,29.75,Success
48,48,Arianespace,StatusActive,200,Success
49,49,SpaceX,StatusActive,50,Success
50,50,Northrop,StatusActive,85,Success
51,51,ULA,StatusActive,115,Success
52,52,ISA,StatusActive,,Failure
53,53,MHI,StatusActive,90,Success
54,54,Arianespace,StatusActive,48.5,Success
55,55,Rocket Lab,StatusActive,7.5,Success
56,56,SpaceX,StatusActive,50,Success
57,57,SpaceX,StatusActive,50,Success
58,58,Arianespace,StatusActive,200,Success
59,59,ExPace,StatusActive,,Success
60,60,CASC,StatusActive,29.75,Success
61,61,CASC,StatusActive,29.15,Success
62,62,SpaceX,StatusActive,50,Success
63,63,CASC,StatusActive,,Success
64,64,VKS RF,StatusRetired,41.8,Success
65,65,Roscosmos,StatusActive,65,Success
66,66,ULA,StatusActive,,Success
67,67,CASC,StatusActive,64.68,Success
68,68,Arianespace,StatusActive,,Success
69,69,SpaceX,StatusActive,50,Success
70,70,CASC,StatusActive,,Success
71,71,Blue Origin,StatusActive,,Success
72,72,ISRO,StatusActive,21,Success
73,73,VKS RF,StatusActive,48.5,Success
74,74,ExPace,StatusActive,,Success
75,75,ExPace,StatusActive,,Success
76,76,Roscosmos,StatusActive,48.5,Success
77,77,Rocket Lab,StatusActive,7.5,Success
78,78,SpaceX,StatusActive,50,Success
79,79,CASC,StatusActive,64.68,Success
80,80,ISRO,StatusActive,31,Success
81,81,Arianespace,StatusActive,200,Success
82,82,VKS RF,StatusActive,,Success
83,83,CASC,StatusActive,,Success
84,84,ExPace,StatusActive,,Success
85,85,CASC,StatusActive,,Success
86,86,ExPace,StatusActive,,Success
87,87,SpaceX,StatusActive,50,Success
88,88,CASC,StatusActive,29.15,Success
89,89,CASC,StatusActive,64.68,Success
90,90,Northrop,StatusActive,85,Success
91,91,Exos,StatusActive,,Failure
92,92,CASC,StatusActive,29.15,Success
93,93,Rocket Lab,StatusActive,7.5,Success
94,94,Northrop,StatusActive,40,Success
95,95,ILS,StatusActive,65,Success
96,96,CASC,StatusActive,64.68,Success
97,97,VKS RF,StatusActive,48.5,Success
98,98,Roscosmos,StatusRetired,,Success
99,99,CASC,StatusActive,29.75,Success
100,100,MHI,StatusRetired,112.5,Success
101,101,CASC,StatusActive,,Success
102,102,CASC,StatusActive,5.3,Success
103,103,CASC,StatusActive,64.68,Success
104,104,ExPace,StatusActive,,Success
105,105,VKS RF,StatusRetired,41.8,Success
106,106,ISA,StatusActive,,Prelaunch Failure
107,107,ULA,StatusRetired,164,Success
108,108,Roscosmos,StatusActive,48.5,Success
109,109,Rocket Lab,StatusActive,7.5,Success
110,110,CASC,StatusActive,29.15,Success
111,111,CASC,StatusActive,7.5,Success
112,112,ULA,StatusActive,153,Success
113,113,SpaceX,StatusActive,50,Success
114,114,Arianespace,StatusActive,200,Success
115,115,Roscosmos,StatusActive,65,Success
116,116,Roscosmos,StatusActive,48.5,Success
117,117,VKS RF,StatusActive,48.5,Success
118,118,CASC,StatusActive,30.8,Success
